iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
FLK,South America,Falkland Islands,9/28/2020,13,0,0,0,0,0,3732.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3483,0,0,0,0,0,0,0,0,0,0,0,0,81.44,0
FRA,Europe,France,9/28/2020,538569,11123,12115.143,31727,27,63.143,8250.958,170.406,185.606,486.062,0.414,0.967,0,0,0,0,0,0,0,0,0,0,65273512,122.578,42,19.718,13.079,38605.671,0,86.06,4.77,30.1,35.6,0,5.98,82.66,0.901
FRO,Europe,Faeroe Islands,9/28/2020,460,0,3.714,0,0,0,9413.691,0,76.011,0,0,0,0,0,0,0,0,0,0,0,0,0,48865,35.308,0,0,0,0,0,0,0,0,0,0,0,80.67,0
GAB,Africa,Gabon,9/28/2020,8728,0,4.571,54,0,0.143,3921.414,0,2.054,24.262,0,0.064,0,0,0,0,0,0,0,0,0,0,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,0,0,0,6.3,66.47,0.702
GBR,Europe,United Kingdom,9/28/2020,434969,5692,5816,41988,17,30.143,6407.344,83.846,85.673,618.507,0.25,0.444,0,0,0,0,0,0,0,0,0,0,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,0,2.54,81.32,0.922
GEO,Asia,Georgia,9/28/2020,5552,298,265.286,28,0,1.143,1391.766,74.702,66.501,7.019,0,0.286,0,0,0,0,0,0,0,0,0,0,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,0,2.6,73.77,0.78
GGY,Europe,Guernsey,9/28/2020,256,0,0.143,13,0,0,3817.932,0,2.131,193.879,0,0,0,0,0,0,0,0,0,0,0,0,67052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,Africa,Ghana,9/28/2020,46387,165,54.714,299,0,0.286,1492.842,5.31,1.761,9.623,0,0.009,0,0,0,0,0,0,0,0,0,0,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.592
GIB,Europe,Gibraltar,9/28/2020,379,7,4.143,0,0,0,11249.295,207.771,122.966,0,0,0,0,0,0,0,0,0,0,0,0,0,33691,3457.1,0,0,0,0,0,0,0,0,0,0,0,79.93,0
GIN,Africa,Guinea,9/28/2020,10580,32,36.429,66,0,0.286,805.617,2.437,2.774,5.026,0,0.022,0,0,0,0,0,0,0,0,0,0,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,0,0,17.45,0.3,61.6,0.459
GMB,Africa,Gambia,9/28/2020,3569,14,6.143,111,1,0.429,1476.829,5.793,2.542,45.931,0.414,0.177,0,0,0,0,0,0,0,0,0,75.93,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
GNB,Africa,Guinea-Bissau,9/28/2020,2324,0,3,39,0,0,1180.896,0,1.524,19.817,0,0,0,0,0,0,0,0,0,0,0,0,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,0,0,6.403,0,58.32,0.455
GNQ,Africa,Equatorial Guinea,9/28/2020,5028,0,3.714,83,0,0,3583.787,0,2.647,59.16,0,0,0,0,0,0,0,0,0,0,0,0,1402985,45.194,22.4,2.846,1.752,22604.873,0,202.812,7.78,0,0,24.64,2.1,58.74,0.591
GRC,Europe,Greece,9/28/2020,17444,216,328.857,379,3,5.857,1673.597,20.723,31.551,36.362,0.288,0.562,0,0,0,0,0,0,0,0,0,0,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,0,4.21,82.24,0.87
GRD,North America,Grenada,9/28/2020,24,0,0,0,0,0,213.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112519,317.132,29.4,7.304,5.021,13593.877,0,243.964,10.71,0,0,0,3.7,72.4,0.772
GRL,North America,Greenland,9/28/2020,14,0,0,0,0,0,246.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56772,0.137,0,0,0,0,0,199.941,2.16,0,0,0,0,71.7,0
GTM,North America,Guatemala,9/28/2020,90092,390,664,3229,16,15.714,5028.699,21.769,37.063,180.234,0.893,0.877,0,0,0,0,0,0,0,0,0,0,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,0,0,76.665,0.6,74.3,0.65
GUM,Oceania,Guam,9/28/2020,2354,0,33.857,42,0,1.143,13946.902,0,200.596,248.84,0,6.771,0,0,0,0,0,0,0,0,0,0,168783,304.128,31.4,9.551,5.493,0,0,310.496,21.52,0,0,0,0,80.07,0
GUY,South America,Guyana,9/28/2020,2772,47,71.857,76,2,1.714,3524.211,59.754,91.356,96.623,2.543,2.179,0,0,0,0,0,0,0,0,0,0,786559,3.952,26.3,5.305,2.837,7435.047,0,373.159,11.62,0,0,77.159,1.6,69.91,0.654
HND,North America,Honduras,9/28/2020,75109,561,499,2289,1,15,7583.238,56.64,50.381,231.105,0.101,1.514,0,0,0,0,0,0,0,0,0,0,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,0,84.169,0.7,75.27,0.617
HRV,Europe,Croatia,9/28/2020,16197,190,182.143,272,3,3.429,3945.418,46.282,44.368,66.256,0.731,0.835,3029,295998,72.102,0.738,4838,1.178,26.562,0.038,people tested,32.41,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,0,5.54,78.49,0.831
HTI,North America,Haiti,9/28/2020,8723,0,14.857,227,0,0.857,765.005,0,1.303,19.908,0,0.075,0,0,0,0,0,0,0,0,0,0,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.498
HUN,Europe,Hungary,9/28/2020,24716,702,835.714,749,13,9,2558.499,72.668,86.51,77.533,1.346,0.932,7065,697473,72.2,0.731,10207,1.057,12.214,0.082,tests performed,0,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,0,7.02,76.88,0.838
IDN,Asia,Indonesia,9/28/2020,285599,14260,5846.143,10386,78,119,1044.147,52.134,21.373,37.971,0.285,0.435,27637,1934863,7.074,0.101,30955,0.113,5.295,0.189,people tested,0,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IMN,Europe,Isle of Man,9/28/2020,340,0,0.143,24,0,0,3998.495,0,1.68,282.247,0,0,0,0,0,0,0,0,0,0,0,0,85032,147.872,0,0,0,0,0,0,0,0,0,0,0,81.4,0
IND,Asia,India,9/28/2020,6074702,82170,83874.571,95542,1039,1094.286,4401.944,59.543,60.778,69.233,0.753,0.793,0,0,0,0,0,0,0,0,0,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
IRL,Europe,Ireland,9/28/2020,34990,430,293.857,1802,0,1.429,7086.157,87.083,59.512,364.94,0,0.289,0,0,0,0,0,0,0,0,0,0,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,0,2.96,82.3,0.938
IRN,Asia,Iran,9/28/2020,446448,3362,3472.571,25589,195,184,5315.303,40.027,41.344,304.657,2.322,2.191,0,3932571,46.82,0,22753,0.271,6.552,0.153,tests performed,0,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,0,1.5,76.68,0.798
IRQ,Asia,Iraq,9/28/2020,349450,3481,4345,8990,55,62.143,8687.923,86.544,108.024,223.507,1.367,1.545,0,0,0,0,0,0,0,0,0,0,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,0,0,94.576,1.4,70.6,0.685
ISL,Europe,Iceland,9/28/2020,2623,22,39.571,10,0,0,7686.447,64.469,115.96,29.304,0,0,0,0,0,0,0,0,0,0,0,0,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,0,2.91,82.99,0.935
ISR,Asia,Israel,9/28/2020,231026,3926,6085.571,1466,25,30,26691.11,453.582,703.084,169.371,2.888,3.466,0,0,0,0,0,0,0,0,0,0,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,0,2.99,82.97,0.903
